ober,real
0.473534972,0.18479
0.263705104,0.10282
0.28254717,0.10845
0.47592068,0.18524
0.283286119,0.11127
0.28125,0.10915
0.283617424,0.10853
0.480550285,0.18324
0.474407583,0.18537
0.483412322,0.18182
0.279620853,0.10845
0.270833333,0.10704
0.483962264,0.19504
0.480696798,0.18621
0,0.0028
0.398592,0.16396
0.423943662,0.16254
0.02629108,0.01816
0.429906542,0.16608
0.426635514,0.16325
0.432432432,0.16054
0.039106145,0.01747
0.039069767,0.02584
0.032497679,0.01957
0.431481481,0.16466
0.414351852,0.16466
0.093779016,0.04542
0.043599258,0.02933
0.47309833,0.1835
0.049210771,0.03636
0.407992565,0.16796
0.049210771,0.03846
0.048282266,0.03776
0.04549675,0.03359
0.411492122,0.16314
0.401669759,0.1702
0.400925926,0.16737
0.034259259,0.02308
0.0148561,0.01119
0.420686456,0.17078
0.406858202,0.17244
0.267873723,0.10289
0.403151066,0.16302
0,0.00629
0,0.00419
0.011162791,0.00839
0.394444444,0.16172
0.386932345,0.16243
0.406220984,0.16384
0.057460612,0.03636
0.057460612,0.04056
0.411792015,0.16514
0.39471243,0.16466
0.287105751,0.10853
0.411410019,0.16796
0.406772,0.16514
0.401205937,0.16243
0.027829314,0.02094
0.040352505,0.02442
0.010185185,0.00698
0.426115242,0.17008
0.404828227,0.16867
0.085501859,0.04676
0.049767442,0.03073
0.479591837,0.18395
0,0.00629
0.017641597,0.01189
0.398886827,0.16525
0.384508349,0.16596
0.409090909,0.16737
0.056638812,0.03846
0.062267658,0.04406
0.406685237,0.16867
0.395543,0.1682
0.285714286,0.10994
0.009302326,0.00839
0.394418605,0.16243
0.384401114,0.16314
0.406307978,0.16455
0.053853296,0.03776
0.056638812,0.04196
0.410399257,0.16584
0.393686165,0.16537
0.283194058,0.10782
0.391627907,0.16113
0.392093023,0.16325
0.404651163,0.16325
0.050232558,0.03359
0.05204461,0.03779
0.410697674,0.16667
0.390595903,0.1662
0.287779851,0.1086
0.03255814,0.02584
0.026095061,0.02233
0.416744186,0.16525
0.404651163,0.16243
0.082945014,0.04609
0.04193849,0.02935
0.481877,0.18195
0.038139535,0.02514
0.432746,0.1709
0.418291551,0.16949
0.097390494,0.04609
0.013979497,0.00908
0.478564772,0.18408
0.43516791,0.1709
0.406337372,0.16808
0.091247672,0.04818
0.045623836,0.03145
0.48743,0.18053
0.040502793,0.02727
0.433830382,0.17078
0.422035481,0.17314
0.2832397,0.10853
0.438785047,0.17219
0.411380597,0.17173
0.27627907,0.10641
0.102516309,0.05031
0.493482309,0.19446
0.47250699,0.18492